Participant,Trial,State,Deviant,I1,I2,I3,I4,I5,I6,O1,O2,O3,O4,O5,O6
1,1,CS,No_Deviant,7,4,8,1,5,3,7,4,8,5,3,0
1,2,CS,No_Deviant,3,1,7,4,2,5,3,1,7,5,2,8
1,3,CS,No_Deviant,5,7,1,8,3,6,5,7,1,4,8,2
1,4,CS,No_Deviant,6,2,5,1,4,7,6,2,5,1,0,7
1,6,CS,No_Deviant,8,2,5,7,4,6,8,2,5,7,1,6
1,7,CS,No_Deviant,5,1,7,4,2,8,5,1,7,4,0,2
1,9,CS,No_Deviant,7,4,2,6,1,5,7,4,2,6,1,5
1,10,CS,No_Deviant,2,7,5,1,4,8,2,7,5,1,4,6
1,11,CS,No_Deviant,6,4,7,2,8,3,6,4,7,2,3,0
1,12,CS,No_Deviant,5,7,2,8,1,4,5,7,8,1,4,2
1,13,CS,No_Deviant,8,3,6,2,5,7,8,6,4,2,5,7
1,14,CS,No_Deviant,3,1,7,4,6,8,3,7,1,4,0,8
1,15,CS,No_Deviant,5,7,3,6,2,4,5,7,3,4,6,2
1,16,CS,No_Deviant,8,1,6,3,5,2,8,1,6,3,2,5
1,17,CS,No_Deviant,4,2,8,6,3,7,4,2,8,6,7,1
1,19,CS,No_Deviant,4,2,8,6,3,5,4,2,8,6,5,3
1,20,CS,No_Deviant,2,6,4,8,1,7,2,6,4,8,1,7
1,21,CS,No_Deviant,5,2,7,3,8,4,5,7,2,3,8,1
1,22,CS,No_Deviant,4,6,2,8,5,3,4,6,2,8,5,3
1,23,CS,No_Deviant,3,1,8,5,2,6,3,1,8,5,2,6
1,24,CS,No_Deviant,2,4,7,1,8,5,2,4,7,1,8,5
1,25,CS,No_Deviant,8,1,5,2,6,3,8,1,5,2,6,3
1,26,CS,No_Deviant,4,6,3,7,2,8,4,6,3,8,5,2
1,28,CS,No_Deviant,7,3,1,6,2,5,7,6,3,1,8,2
1,29,CS,No_Deviant,4,8,6,3,7,2,4,8,5,7,2,1
1,30,CS,No_Deviant,3,1,7,5,2,6,3,1,7,5,2,6
1,31,CS,No_Deviant,6,2,8,1,4,7,6,2,8,0,0,4
1,32,CS,No_Deviant,4,6,3,7,1,5,4,6,3,7,0,5
1,33,CS,No_Deviant,5,3,6,4,2,8,5,6,3,7,4,2
1,34,CS,No_Deviant,6,8,4,7,1,3,6,8,4,7,1,3
1,36,CS,No_Deviant,5,2,8,1,7,4,5,2,8,1,4,6
1,37,CS,No_Deviant,8,5,1,7,3,6,8,5,1,7,3,6
1,38,CS,No_Deviant,3,7,4,2,6,8,3,7,4,2,8,5
1,39,CS,No_Deviant,5,2,7,3,1,6,5,2,7,8,1,3
1,40,CS,No_Deviant,4,7,2,6,8,3,4,7,6,2,8,3
1,42,CS,No_Deviant,4,7,3,8,5,2,4,7,3,2,5,8
1,43,CS,No_Deviant,5,3,7,2,4,1,5,3,2,7,4,1
1,44,CS,No_Deviant,4,1,8,6,2,5,4,1,6,6,5,2
1,45,CS,No_Deviant,6,2,4,7,3,1,6,2,4,7,1,3
1,5,CS,With_Deviant,5,8,1,4,7,2,5,2,8,4,7,3
1,8,CS,With_Deviant,2,7,4,1,5,3,2,1,7,4,5,6
1,18,CS,With_Deviant,5,3,7,1,4,6,5,3,7,8,1,6
1,27,CS,With_Deviant,6,2,8,3,5,1,6,2,8,3,5,1
1,35,CS,With_Deviant,4,7,2,5,3,6,4,7,2,6,5,3
1,41,CS,With_Deviant,5,3,7,4,2,8,5,3,7,2,4,8
1,1,SS,No_Deviant,2,5,1,8,4,6,2,5,1,8,4,6
1,2,SS,No_Deviant,7,1,4,2,6,8,7,1,4,6,8,2
1,3,SS,No_Deviant,8,5,2,6,3,7,8,3,5,7,6,4
1,4,SS,No_Deviant,3,6,8,1,7,5,3,6,8,5,1,2
1,6,SS,No_Deviant,5,2,4,6,1,8,5,2,4,8,6,1
1,7,SS,No_Deviant,8,4,7,1,6,3,8,4,7,1,3,6
1,9,SS,No_Deviant,3,6,2,7,5,8,3,6,2,7,5,0
1,10,SS,No_Deviant,2,5,7,4,6,1,2,5,7,4,1,6
1,11,SS,No_Deviant,3,6,2,7,1,4,3,6,2,7,4,1
1,12,SS,No_Deviant,5,2,4,8,3,7,5,2,4,8,3,7
1,13,SS,No_Deviant,8,3,5,1,6,4,8,3,5,7,4,1
1,14,SS,No_Deviant,5,8,3,7,1,6,5,8,3,7,4,1
1,15,SS,No_Deviant,7,5,1,6,4,2,8,5,1,7,6,3
1,16,SS,No_Deviant,4,6,2,8,3,5,4,6,3,8,5,2
1,17,SS,No_Deviant,2,5,8,1,7,3,2,5,8,1,3,6
1,19,SS,No_Deviant,3,8,2,6,1,4,3,8,2,1,6,4
1,20,SS,No_Deviant,7,2,4,8,5,1,7,2,4,8,5,1
1,21,SS,No_Deviant,2,6,3,1,4,7,2,6,3,7,5,1
1,22,SS,No_Deviant,5,7,2,8,1,3,2,5,1,7,3,6
1,23,SS,No_Deviant,4,1,7,3,6,8,4,1,7,3,6,0
1,24,SS,No_Deviant,3,5,2,7,4,6,4,7,3,5,7,6
1,25,SS,No_Deviant,5,1,7,4,8,2,5,1,7,8,4,6
1,26,SS,No_Deviant,3,6,1,8,2,5,3,6,1,0,0,5
1,28,SS,No_Deviant,2,6,8,5,7,3,2,6,8,5,0,3
1,29,SS,No_Deviant,3,7,5,1,8,4,3,7,5,8,1,0
1,30,SS,No_Deviant,5,8,4,6,1,3,5,8,4,6,1,3
1,31,SS,No_Deviant,8,4,7,3,5,2,8,4,7,3,5,2
1,32,SS,No_Deviant,3,6,8,5,1,7,3,6,8,5,7,1
1,33,SS,No_Deviant,2,8,5,7,4,6,2,8,5,7,6,1
1,34,SS,No_Deviant,6,4,7,2,8,5,6,1,4,8,2,7
1,36,SS,No_Deviant,4,2,8,3,6,1,4,2,8,0,6,1
1,37,SS,No_Deviant,8,5,2,4,7,3,8,5,2,4,6,0
1,38,SS,No_Deviant,6,1,8,3,5,2,6,1,8,5,3,2
1,39,SS,No_Deviant,5,8,2,7,4,1,2,5,8,4,7,6
1,40,SS,No_Deviant,6,2,8,3,7,4,6,2,8,4,7,3
1,42,SS,No_Deviant,4,6,2,5,7,1,8,6,4,2,7,0
1,43,SS,No_Deviant,2,8,4,7,1,6,2,8,4,7,0,0
1,44,SS,No_Deviant,5,3,1,6,8,4,5,3,7,4,1,8
1,45,SS,No_Deviant,6,1,7,4,2,8,0,0,0,7,4,1
1,5,SS,With_Deviant,2,7,5,3,8,1,2,7,5,3,8,1
1,8,SS,With_Deviant,4,1,6,8,3,5,1,6,1,8,3,0
1,18,SS,With_Deviant,5,1,4,8,2,6,5,1,4,3,8,6
1,27,SS,With_Deviant,6,2,5,7,3,1,6,2,5,7,1,3
1,35,SS,With_Deviant,8,5,2,6,4,7,8,5,7,2,6,1
1,41,SS,With_Deviant,5,7,4,2,6,8,5,7,4,2,8,3
2,1,CS,No_Deviant,7,4,8,1,5,3,7,4,8,1,2,3
2,2,CS,No_Deviant,3,1,7,4,2,5,3,1,7,4,5,2
2,3,CS,No_Deviant,5,7,1,8,3,6,5,7,1,4,2,3
2,4,CS,No_Deviant,6,2,5,1,4,7,6,2,5,3,7,1
2,6,CS,No_Deviant,8,2,5,7,4,6,8,2,5,1,3,4
2,7,CS,No_Deviant,5,1,7,4,2,8,5,1,7,2,3,4
2,9,CS,No_Deviant,7,4,2,6,1,5,7,4,2,5,3,6
2,10,CS,No_Deviant,2,7,5,1,4,8,2,7,5,3,4,8
2,11,CS,No_Deviant,6,4,7,2,8,3,6,4,7,2,1,3
2,12,CS,No_Deviant,5,7,2,8,1,4,5,7,8,1,2,3
2,13,CS,No_Deviant,8,3,6,2,5,7,8,3,2,4,5,7
2,14,CS,No_Deviant,3,1,7,4,6,8,3,1,7,2,5,6
2,15,CS,No_Deviant,5,7,3,6,2,4,5,7,3,4,2,6
2,16,CS,No_Deviant,8,1,6,3,5,2,8,1,6,3,5,2
2,17,CS,No_Deviant,4,2,8,6,3,7,4,2,8,6,1,3
2,19,CS,No_Deviant,4,2,8,6,3,5,4,2,8,6,5,1
2,20,CS,No_Deviant,2,6,4,8,1,7,2,6,4,5,1,3
2,21,CS,No_Deviant,5,2,7,3,8,4,5,2,7,1,3,4
2,22,CS,No_Deviant,4,6,2,8,5,3,4,6,2,1,5,3
2,23,CS,No_Deviant,3,1,8,5,2,6,3,1,8,5,2,6
2,24,CS,No_Deviant,2,4,7,1,8,5,2,4,7,1,6,3
2,25,CS,No_Deviant,8,1,5,2,6,3,8,1,6,2,4,3
2,26,CS,No_Deviant,4,6,3,7,2,8,4,6,3,2,1,5
2,28,CS,No_Deviant,7,3,1,6,2,5,7,3,1,6,2,5
2,29,CS,No_Deviant,4,8,6,3,7,2,4,8,6,2,5,1
2,30,CS,No_Deviant,3,1,7,5,2,6,3,1,7,5,2,6
2,31,CS,No_Deviant,6,2,8,1,4,7,6,2,8,5,3,1
2,32,CS,No_Deviant,4,6,3,7,1,5,4,6,3,7,5,1
2,33,CS,No_Deviant,5,3,6,4,2,8,3,6,4,2,5,8
2,34,CS,No_Deviant,6,8,4,7,1,3,6,8,4,2,1,7
2,36,CS,No_Deviant,5,2,8,1,7,4,5,8,2,3,7,1
2,37,CS,No_Deviant,8,5,1,7,3,6,8,5,1,4,2,3
2,38,CS,No_Deviant,3,7,4,2,6,8,3,7,4,5,2,1
2,39,CS,No_Deviant,5,2,7,3,1,6,5,2,7,4,1,6
2,40,CS,No_Deviant,4,7,2,6,8,3,4,7,2,6,3,8
2,42,CS,No_Deviant,4,7,3,8,5,2,4,7,3,2,1,5
2,43,CS,No_Deviant,5,3,7,2,4,1,5,3,7,6,2,1
2,44,CS,No_Deviant,4,1,8,6,2,5,4,1,8,6,2,5
2,45,CS,No_Deviant,6,2,4,7,3,1,6,2,4,5,3,2
2,5,CS,With_Deviant,5,8,1,4,7,2,5,8,1,4,2,3
2,8,CS,With_Deviant,2,7,4,1,5,3,7,4,1,2,3,6
2,18,CS,With_Deviant,5,3,7,1,4,6,5,3,7,2,6,5
2,27,CS,With_Deviant,6,2,8,3,5,1,6,2,8,5,3,1
2,35,CS,With_Deviant,4,7,2,5,3,6,4,7,2,5,1,3
2,41,CS,With_Deviant,5,3,7,4,2,8,5,7,3,1,6,4
2,1,SS,No_Deviant,2,5,1,8,4,6,5,2,1,3,6,4
2,2,SS,No_Deviant,7,1,4,2,6,8,7,1,4,2,5,6
2,3,SS,No_Deviant,8,5,2,6,3,7,8,5,2,3,4,6
2,4,SS,No_Deviant,3,6,8,1,7,5,3,6,8,4,2,5
2,6,SS,No_Deviant,5,2,4,6,1,8,5,2,1,3,6,8
2,7,SS,No_Deviant,8,4,7,1,6,3,8,7,4,6,1,5
2,9,SS,No_Deviant,3,6,2,7,5,8,3,6,2,5,1,8
2,10,SS,No_Deviant,2,5,7,4,6,1,2,5,7,6,8,1
2,11,SS,No_Deviant,3,6,2,7,1,4,3,6,2,5,1,4
2,12,SS,No_Deviant,5,2,4,8,3,7,5,2,4,1,6,3
2,13,SS,No_Deviant,8,3,5,1,6,4,8,3,5,6,2,1
2,14,SS,No_Deviant,5,8,3,7,1,6,5,8,3,1,2,4
2,15,SS,No_Deviant,7,5,1,6,4,2,7,5,1,3,6,2
2,16,SS,No_Deviant,4,6,2,8,3,5,4,6,2,3,8,5
2,17,SS,No_Deviant,2,5,8,1,7,3,2,5,8,6,2,3
2,19,SS,No_Deviant,3,8,2,6,1,4,3,8,2,6,1,4
2,20,SS,No_Deviant,7,2,4,8,5,1,7,4,2,5,3,6
2,21,SS,No_Deviant,2,6,3,1,4,7,2,6,3,5,4,7
2,22,SS,No_Deviant,5,7,2,8,1,3,5,7,2,3,6,8
2,23,SS,No_Deviant,4,1,7,3,6,8,4,1,7,2,6,8
2,24,SS,No_Deviant,3,5,2,7,4,6,3,5,2,6,4,1
2,25,SS,No_Deviant,5,1,7,4,8,2,5,1,7,6,3,2
2,26,SS,No_Deviant,3,6,1,8,2,5,3,1,6,4,2,5
2,28,SS,No_Deviant,2,6,8,5,7,3,2,6,8,5,1,3
2,29,SS,No_Deviant,3,7,5,1,8,4,3,7,5,2,1,6
2,30,SS,No_Deviant,5,8,4,6,1,3,5,8,1,4,2,6
2,31,SS,No_Deviant,8,4,7,3,5,2,8,4,7,6,2,1
2,32,SS,No_Deviant,3,6,8,5,1,7,3,6,8,5,2,7
2,33,SS,No_Deviant,2,8,5,7,4,6,2,8,5,3,1,6
2,34,SS,No_Deviant,6,4,7,2,8,5,6,4,7,8,2,1
2,36,SS,No_Deviant,4,2,8,3,6,1,4,2,8,5,6,1
2,37,SS,No_Deviant,8,5,2,4,7,3,8,5,2,1,3,6
2,38,SS,No_Deviant,6,1,8,3,5,2,6,1,8,4,5,2
2,39,SS,No_Deviant,5,8,2,7,4,1,5,8,2,6,3,4
2,40,SS,No_Deviant,6,2,8,3,7,4,6,2,8,1,3,4
2,42,SS,No_Deviant,4,6,2,5,7,1,4,6,2,5,3,1
2,43,SS,No_Deviant,2,8,4,7,1,6,2,8,4,5,3,6
2,44,SS,No_Deviant,5,3,1,6,8,4,5,3,1,2,8,4
2,45,SS,No_Deviant,6,1,7,4,2,8,6,1,7,4,5,3
2,5,SS,With_Deviant,2,7,5,3,8,1,2,7,5,3,2,1
2,8,SS,With_Deviant,4,1,6,8,3,5,4,1,6,3,2,5
2,18,SS,With_Deviant,5,1,4,8,2,6,5,1,4,8,2,6
2,27,SS,With_Deviant,6,2,5,7,3,1,6,2,5,3,1,4
2,35,SS,With_Deviant,8,5,2,6,4,7,8,5,2,3,6,1
2,41,SS,With_Deviant,5,7,4,2,6,8,5,7,4,3,6,8
3,1,CS,No_Deviant,7,4,8,1,5,3,7,4,8,1,5,3
3,2,CS,No_Deviant,3,1,7,4,2,5,3,1,7,4,2,5
3,3,CS,No_Deviant,5,7,1,8,3,6,5,7,1,3,8,6
3,4,CS,No_Deviant,6,2,5,1,4,7,6,2,5,1,4,7
3,6,CS,No_Deviant,8,2,5,7,4,6,8,2,5,7,4,6
3,7,CS,No_Deviant,5,1,7,4,2,8,5,7,1,4,0,6
3,9,CS,No_Deviant,7,4,2,6,1,5,7,4,2,6,1,5
3,10,CS,No_Deviant,2,7,5,1,4,8,2,7,5,1,4,8
3,11,CS,No_Deviant,6,4,7,2,8,3,6,4,7,2,8,3
3,12,CS,No_Deviant,5,7,2,8,1,4,5,7,2,8,4,0
3,13,CS,No_Deviant,8,3,6,2,5,7,8,3,6,2,5,7
3,14,CS,No_Deviant,3,1,7,4,6,8,3,1,7,4,6,7
3,15,CS,No_Deviant,5,7,3,6,2,4,5,7,3,6,2,4
3,16,CS,No_Deviant,8,1,6,3,5,2,8,1,6,3,5,2
3,17,CS,No_Deviant,4,2,8,6,3,7,4,2,8,6,3,7
3,19,CS,No_Deviant,4,2,8,6,3,5,4,2,8,6,3,5
3,20,CS,No_Deviant,2,6,4,8,1,7,2,6,4,8,1,7
3,21,CS,No_Deviant,5,2,7,3,8,4,5,2,7,3,4,8
3,22,CS,No_Deviant,4,6,2,8,5,3,4,6,2,8,5,3
3,23,CS,No_Deviant,3,1,8,5,2,6,3,1,8,5,2,6
3,24,CS,No_Deviant,2,4,7,1,8,5,2,4,7,1,8,5
3,25,CS,No_Deviant,8,1,5,2,6,3,8,1,5,2,6,0
3,26,CS,No_Deviant,4,6,3,7,2,8,4,6,3,7,1,8
3,28,CS,No_Deviant,7,3,1,6,2,5,7,3,1,6,5,2
3,29,CS,No_Deviant,4,8,6,3,7,2,4,8,6,3,7,2
3,30,CS,No_Deviant,3,1,7,5,2,6,3,7,1,5,2,6
3,31,CS,No_Deviant,6,2,8,1,4,7,6,2,8,1,4,7
3,32,CS,No_Deviant,4,6,3,7,1,5,4,6,3,7,1,5
3,33,CS,No_Deviant,5,3,6,4,2,8,5,3,6,4,2,8
3,34,CS,No_Deviant,6,8,4,7,1,3,6,8,4,7,1,3
3,36,CS,No_Deviant,5,2,8,1,7,4,5,2,8,7,1,4
3,37,CS,No_Deviant,8,5,1,7,3,6,8,5,1,7,6,3
3,38,CS,No_Deviant,3,7,4,2,6,8,3,7,4,2,6,8
3,39,CS,No_Deviant,5,2,7,3,1,6,5,2,7,3,1,6
3,40,CS,No_Deviant,4,7,2,6,8,3,2,4,7,6,8,3
3,42,CS,No_Deviant,4,7,3,8,5,2,4,7,3,8,5,2
3,43,CS,No_Deviant,5,3,7,2,4,1,5,3,7,4,2,1
3,44,CS,No_Deviant,4,1,8,6,2,5,4,1,8,6,2,5
3,45,CS,No_Deviant,6,2,4,7,3,1,6,4,2,7,3,1
3,5,CS,With_Deviant,5,8,1,4,7,2,5,8,1,4,7,2
3,8,CS,With_Deviant,2,7,4,1,5,3,2,7,4,1,5,3
3,18,CS,With_Deviant,5,3,7,1,4,6,5,3,7,1,4,6
3,27,CS,With_Deviant,6,2,8,3,5,1,6,2,8,3,5,1
3,35,CS,With_Deviant,4,7,2,5,3,6,4,7,2,5,3,6
3,41,CS,With_Deviant,5,3,7,4,2,8,5,3,7,4,2,8
3,1,SS,No_Deviant,2,5,1,8,4,6,2,5,1,8,4,6
3,2,SS,No_Deviant,7,1,4,2,6,8,7,1,4,2,6,8
3,3,SS,No_Deviant,8,5,2,6,3,7,8,5,2,6,3,7
3,4,SS,No_Deviant,3,6,8,1,7,5,6,3,8,1,7,5
3,6,SS,No_Deviant,5,2,4,6,1,8,5,2,4,6,1,8
3,7,SS,No_Deviant,8,4,7,1,6,3,8,4,1,7,6,3
3,9,SS,No_Deviant,3,6,2,7,5,8,1,6,2,7,5,8
3,10,SS,No_Deviant,2,5,7,4,6,1,2,5,7,4,1,6
3,11,SS,No_Deviant,3,6,2,7,1,4,3,6,2,7,1,4
3,12,SS,No_Deviant,5,2,4,8,3,7,5,2,4,8,3,7
3,13,SS,No_Deviant,8,3,5,1,6,4,8,3,1,4,6,2
3,14,SS,No_Deviant,5,8,3,7,1,6,5,8,3,7,1,6
3,15,SS,No_Deviant,7,5,1,6,4,2,7,5,1,6,4,2
3,16,SS,No_Deviant,4,6,2,8,3,5,4,6,2,8,3,5
3,17,SS,No_Deviant,2,5,8,1,7,3,2,5,8,1,7,3
3,19,SS,No_Deviant,3,8,2,6,1,4,3,8,2,6,1,4
3,20,SS,No_Deviant,7,2,4,8,5,1,2,7,4,8,1,5
3,21,SS,No_Deviant,2,6,3,1,4,7,2,6,3,1,4,7
3,22,SS,No_Deviant,5,7,2,8,1,3,5,7,2,1,8,3
3,23,SS,No_Deviant,4,1,7,3,6,8,4,1,7,6,3,8
3,24,SS,No_Deviant,3,5,2,7,4,6,3,5,2,7,4,6
3,25,SS,No_Deviant,5,1,7,4,8,2,5,1,7,4,8,2
3,26,SS,No_Deviant,3,6,1,8,2,5,3,6,1,8,5,2
3,28,SS,No_Deviant,2,6,8,5,7,3,2,6,8,5,7,4
3,29,SS,No_Deviant,3,7,5,1,8,4,3,7,5,1,8,4
3,30,SS,No_Deviant,5,8,4,6,1,3,5,8,4,6,1,3
3,31,SS,No_Deviant,8,4,7,3,5,2,8,4,7,3,5,2
3,32,SS,No_Deviant,3,6,8,5,1,7,3,6,8,5,1,7
3,33,SS,No_Deviant,2,8,5,7,4,6,2,8,5,7,4,6
3,34,SS,No_Deviant,6,4,7,2,8,5,6,4,7,2,8,5
3,36,SS,No_Deviant,4,2,8,3,6,1,4,2,8,3,6,1
3,37,SS,No_Deviant,8,5,2,4,7,3,5,2,8,4,7,3
3,38,SS,No_Deviant,6,1,8,3,5,2,6,1,8,3,5,2
3,39,SS,No_Deviant,5,8,2,7,4,1,5,8,2,7,4,1
3,40,SS,No_Deviant,6,2,8,3,7,4,6,2,8,3,7,4
3,42,SS,No_Deviant,4,6,2,5,7,1,4,6,2,7,5,1
3,43,SS,No_Deviant,2,8,4,7,1,6,2,8,4,7,1,6
3,44,SS,No_Deviant,5,3,1,6,8,4,5,3,1,6,8,4
3,45,SS,No_Deviant,6,1,7,4,2,8,6,1,7,4,8,2
3,5,SS,With_Deviant,2,7,5,3,8,1,7,1,0,0,0,0
3,8,SS,With_Deviant,4,1,6,8,3,5,4,1,6,8,3,5
3,18,SS,With_Deviant,5,1,4,8,2,6,5,1,4,8,2,6
3,27,SS,With_Deviant,6,2,5,7,3,1,6,2,5,7,3,1
3,35,SS,With_Deviant,8,5,2,6,4,7,8,5,2,6,4,7
3,41,SS,With_Deviant,5,7,4,2,6,8,5,7,4,2,6,8
4,1,CS,No_Deviant,7,4,8,1,5,3,7,8,4,0,0,5
4,2,CS,No_Deviant,3,1,7,4,2,5,3,1,7,0,0,5
4,3,CS,No_Deviant,5,7,1,8,3,6,0,0,0,3,6,8
4,4,CS,No_Deviant,6,2,5,1,4,7,0,0,0,0,4,5
4,6,CS,No_Deviant,8,2,5,7,4,6,8,2,7,5,0,0
4,7,CS,No_Deviant,5,1,7,4,2,8,0,0,4,2,5,8
4,9,CS,No_Deviant,7,4,2,6,1,5,0,0,2,6,0,5
4,10,CS,No_Deviant,2,7,5,1,4,8,0,0,0,0,0,8
4,11,CS,No_Deviant,6,4,7,2,8,3,6,4,7,0,0,0
4,12,CS,No_Deviant,5,7,2,8,1,4,5,7,8,2,0,0
4,13,CS,No_Deviant,8,3,6,2,5,7,8,3,6,2,0,0
4,14,CS,No_Deviant,3,1,7,4,6,8,0,0,0,0,6,8
4,15,CS,No_Deviant,5,7,3,6,2,4,5,7,3,0,0,4
4,16,CS,No_Deviant,8,1,6,3,5,2,8,1,6,0,0,2
4,17,CS,No_Deviant,4,2,8,6,3,7,4,2,8,6,7,3
4,19,CS,No_Deviant,4,2,8,6,3,5,4,2,8,6,0,3
4,20,CS,No_Deviant,2,6,4,8,1,7,4,2,6,8,0,0
4,21,CS,No_Deviant,5,2,7,3,8,4,5,2,3,7,0,4
4,22,CS,No_Deviant,4,6,2,8,5,3,4,2,6,8,3,5
4,23,CS,No_Deviant,3,1,8,5,2,6,0,0,0,5,2,6
4,24,CS,No_Deviant,2,4,7,1,8,5,2,4,7,0,0,8
4,25,CS,No_Deviant,8,1,5,2,6,3,8,5,1,2,6,3
4,26,CS,No_Deviant,4,6,3,7,2,8,4,6,3,0,0,0
4,28,CS,No_Deviant,7,3,1,6,2,5,0,0,0,6,2,5
4,29,CS,No_Deviant,4,8,6,3,7,2,4,8,0,6,7,5
4,30,CS,No_Deviant,3,1,7,5,2,6,3,1,7,5,2,6
4,31,CS,No_Deviant,6,2,8,1,4,7,6,2,1,8,7,0
4,32,CS,No_Deviant,4,6,3,7,1,5,4,3,6,0,1,5
4,33,CS,No_Deviant,5,3,6,4,2,8,0,0,0,4,2,8
4,34,CS,No_Deviant,6,8,4,7,1,3,0,1,0,7,1,3
4,36,CS,No_Deviant,5,2,8,1,7,4,0,0,8,1,7,4
4,37,CS,No_Deviant,8,5,1,7,3,6,8,5,0,0,3,6
4,38,CS,No_Deviant,3,7,4,2,6,8,0,0,7,4,2,6
4,39,CS,No_Deviant,5,2,7,3,1,6,0,0,0,7,1,6
4,40,CS,No_Deviant,4,7,2,6,8,3,4,2,7,6,0,3
4,42,CS,No_Deviant,4,7,3,8,5,2,0,0,0,0,5,2
4,43,CS,No_Deviant,5,3,7,2,4,1,0,0,0,2,4,1
4,44,CS,No_Deviant,4,1,8,6,2,5,4,1,6,8,2,5
